key,de-DE,en-US
server.config.parameter.system.aivalidator-criterias.nongerman_flag_enabled.checkbox,Zur Überprüfung markieren/Tag setzen,flag





server.config.name.system.aivalidator-misc,Sonstige Einstellungen,Misc settings

server.config.parameter.system.aivalidator-misc.preset_blocklist.label,Vorgegebene Blockliste,Preset blocklist
server.config.parameter.system.aivalidator-misc.preset_blocklist.label|hint,"Kommt eines dieser Wörter im Texteintrag vor, wird er getaggt.","If any of these words are present in the text entry, it will be tagged."
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.descr,"Es wird eine vorgefertigte Blockliste mitgeliefert, deren Wortinhalte zum Markieren führt.","This is a pre-made blocklist whose word contents lead to marking."
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.show,"Anzeigen","Show"
server.config.parameter.system.aivalidator-testing.testfield.preset_blocklist.download,"Download","Download"
server.config.parameter.system.aivalidator-misc.own_blocklist.label,Eigene Blockliste (1 Eintrag pro Zeile),Custom blocklist (1 entry per line)
server.config.parameter.system.aivalidator-misc.own_blocklist.label|hint,"Kommt eines dieser Wörter im Texteintrag vor, wird er getaggt.","If any of these words are present in the text entry, it will be tagged."

server.config.parameter.system.aivalidator-misc.openai_apikey.label,API Key für OpenAI,OpenAI API Key
server.config.parameter.system.aivalidator-misc.openai_apikey.label|hint,"Zum Nutzen der Anfragen mit ChatGPT. Ohne diesen Key kann ChatGPT nicht genutzt werden.","To use the requests with ChatGPT. Without the key ChatGPT can not be used."

server.config.parameter.system.aivalidator-misc.detectlanguage_apikey.label,API Key für detectlanguage.com,DetectLanguage.com API Key
server.config.parameter.system.aivalidator-misc.detectlanguage_apikey.label|hint,"Zum Verwenden der API von detectlanguage.com (frei bis 1000 Anfragen pro Tag). Ohne diesen Key verwendet die Spracherkennung stattdessen eine simplere Methode.","To use an API for language detection (free for up to 1000 requests per day). Without this key the language detection uses a simpler method instead."




server.config.name.system.aivalidator-testing,Evaluierung testen,Test the evaluation

server.config.parameter.system.aivalidator-testing.testfield.label,Testfeld,Test area
server.config.parameter.system.aivalidator-testing.testfield.button.label,Testen,test
server.config.parameter.system.aivalidator-testing.testfield.caption,"Testen Sie hier Texte und sehen Sie, wie diese beurteilt werden.","Test your texts here to check how they are judged."
server.config.parameter.system.aivalidator-testing.testfield.loading,"Lade...","Loading..."



server.config.parameter.system.aivalidator-testing.testfield.markings,"Übermäßige Markierungen","Excessive markings"
server.config.parameter.system.aivalidator-testing.testfield.spelling,"Rechtschreibung","Spelling (German)"
server.config.parameter.system.aivalidator-testing.testfield.sentiment,"Sentiment","Sentiment"
server.config.parameter.system.aivalidator-testing.testfield.german,"Deutsche Sprache","German language"
server.config.parameter.system.aivalidator-testing.testfield.chatgpt,"ChatGPT","ChatGPT"
server.config.parameter.system.aivalidator-testing.testfield.predefinedBlocklist,"Vorgefertigte Blockliste","Predefined blocklist"
server.config.parameter.system.aivalidator-testing.testfield.customBlocklist,"Eigene Blockliste","Custom blocklist"
server.config.parameter.system.aivalidator-testing.testfield.error,"Fehler","Error"
server.config.parameter.system.aivalidator-testing.testfield.result,"Fazit","Result"
server.config.parameter.system.aivalidator-testing.testfield.result-bad,"Sollte überprüft werden.","Should be checked."
server.config.parameter.system.aivalidator-testing.testfield.result-okay,"Keine Auffälligkeiten über Schwellwerten gefunden.","No abnormally above norm values found."
server.config.parameter.system.aivalidator-testing.testfield.problematic,"problematisch bei Schwellwert von","problematic at a threshold of"
server.config.parameter.system.aivalidator-testing.testfield.okay,"okay","okay"
server.config.parameter.system.aivalidator-testing.testfield.not-okay,"'nicht okay'","not okay"

server.config.parameter.system.aivalidator-testing.testfield.markings.uppercase,"Großbuchstaben","Uppercase characters"
server.config.parameter.system.aivalidator-testing.testfield.markings.lowercase,"Kleinbuchstaben","Lowercase chararacters"
server.config.parameter.system.aivalidator-testing.testfield.markings.ratio,"Verhältnis von Großbuchstaben","Ratio of uppercase characters"
server.config.parameter.system.aivalidator-testing.testfield.markings.totalCharacterCount,"Anzahl Buchstaben","Character count"
server.config.parameter.system.aivalidator-testing.testfield.markings.normalCharacterCount,"Normale Buchstaben","Normal characters"
server.config.parameter.system.aivalidator-testing.testfield.markings.normalRatio,"Verhältnis normaler Buchstaben","Ratio of normal characters"
server.config.parameter.system.aivalidator-testing.testfield.markings.emojiCount,"Anzahl Emojis","Emoji count"
server.config.parameter.system.aivalidator-testing.testfield.markings.emojiRatio,"Verhältnis von Emojis","Emoji ratio"
server.config.parameter.system.aivalidator-testing.testfield.markings.excessiveMarks,"Übermäßige Markierungen","Excessive marks"

server.config.parameter.system.aivalidator-testing.testfield.spelling.totalWords,"Anzahl Worte","Word count"
server.config.parameter.system.aivalidator-testing.testfield.spelling.unrecognizedWords,"Nicht erkannte Worte","Non-recognized words"

server.config.parameter.system.aivalidator-testing.testfield.sentiment.stems,"Alle Wortstämme","All word stems"
server.config.parameter.system.aivalidator-testing.testfield.sentiment.positives,"Positive Worte","Positive words"
server.config.parameter.system.aivalidator-testing.testfield.sentiment.negatives,"Negative Worte","Negative words"
server.config.parameter.system.aivalidator-testing.testfield.sentiment.terribles,"Schlimme Worte","Terrible words"

